Query:
'''
    select 
    eDisposition_12
    , count(PcrKey) as NumRecords
    from Pub_PCRevents
    group by eDisposition_12
    order by count(PcrKey) desc
    
'''

|  eDisposition_12  |  NumRecords  |
|  4212033  |  34369554  |
|  4212007  |  2903388  |
|  4212031  |  2624918  |
|  4212025  |  2537741  |
|  4212027  |  2139435  |
|  4212009  |  1952058  |
|  4212011  |  1405484  |
|  4212021  |  1161616  |
|  4212029  |  982886  |
|  4212005  |  823999  |
|  4212003  |  559061  |
|  4212001  |  449661  |
|  4212041  |  388619  |
|  4212015  |  323265  |
|  4212039  |  225978  |
|  4212019  |  140326  |
|  4212037  |  65404  |
|  4212035  |  52357  |
|  4212023  |  41597  |
|  4212043  |  18015  |
|  4212013  |  9779  |
|  4212017  |  4351  |
